# https://github.com/mozillazg/pinyin-data
# 《通用规范汉字表》(2013 年版)里 8105 个汉字的最常用读音
# -> 表示需要验证
# ? 表示有争议，无法确定哪个是最常用的
# <- 表示需要补充拼音信息
# URO (7,832)
U+4E00: yī  # 一
U+5583: nán  # 喃
U+5584: shàn  # 善
U+5586: zhé  # 喆
U+5587: lǎ  # 喇
U+5588: jiē  # 喈
U+5589: hóu  # 喉
U+558A: hǎn  # 喊
U+558B: dié  # 喋
U+558F: nuò  # 喏
U+5591: yīn  # 喑
U+5594: ō  # 喔
U+5598: chuǎn  # 喘
U+5599: huì  # 喙
U+559C: xǐ  # 喜
U+559D: hē  # 喝
U+559F: kuì  # 喟
U+55A4: huáng  # 喤
U+55A7: xuān  # 喧
U+55B1: lí  # 喱
U+55B3: zhā  # 喳
U+55B5: miāo  # 喵
U+55B7: pēn  # 喷
U+55B9: kuí  # 喹
U+55BB: yù  # 喻
U+55BD: lóu  # 喽
U+55BE: kù  # 喾
U+55C4: á  # 嗄 -> shà
U+55C5: xiù  # 嗅
U+55C9: sù  # 嗉
U+55CC: ài  # 嗌 -> yì
U+55CD: suō  # 嗍
U+55D0: hài  # 嗐
U+55D1: kē  # 嗑
U+55D2: dā  # 嗒 -> tà
U+55D3: sǎng  # 嗓
U+55D4: chēn  # 嗔
U+55D6: sōu  # 嗖
U+55DC: shì  # 嗜
U+55DD: gé  # 嗝
U+55DE: zī  # 嗞
U+55DF: jiē  # 嗟
U+55E1: wēng  # 嗡
U+55E3: sì  # 嗣
U+55E4: chī  # 嗤
U+55E5: háo  # 嗥
U+55E6: suo  # 嗦 -> suō
U+55E8: hāi  # 嗨
U+55EA: qín  # 嗪
U+55EB: niè  # 嗫
U+55EC: hē  # 嗬
U+55EF: ń  # 嗯 -> ǹg
U+55F2: diē  # 嗲 -> diǎ
U+55F3: āi  # 嗳 -> ǎi
U+55F5: tōng  # 嗵
U+55F7: áo  # 嗷
U+55FD: sòu  # 嗽
U+55FE: sǒu  # 嗾
U+5600: dí  # 嘀
U+5601: qī  # 嘁
U+5608: cáo  # 嘈
U+5609: jiā  # 嘉
U+560C: piào  # 嘌 -> piāo
U+560E: gā  # 嘎
U+560F: gǔ  # 嘏
U+5618: xū  # 嘘
U+561A: dē  # 嘚
U+561B: ma  # 嘛 -> má
U+561E: lei  # 嘞
U+561F: dū  # 嘟
U+5621: tāng  # 嘡
U+5623: bēng  # 嘣
U+5624: yīng  # 嘤
U+5627: mì  # 嘧
U+562C: chuài  # 嘬 -> zuō
U+562D: pēng  # 嘭
U+5631: zhǔ  # 嘱
U+5632: cháo  # 嘲
U+5634: zuǐ  # 嘴
U+5636: sī  # 嘶
U+5639: liáo  # 嘹
U+563B: xī  # 嘻
U+563F: hēi  # 嘿
U+5640: xùn  # 噀
U+5642: zǔn  # 噂 -> zūn
U+5647: chuáng  # 噇
U+564C: cēng  # 噌
U+564D: jiào  # 噍
U+564E: yē  # 噎
U+5654: dēng  # 噔
U+5657: pū  # 噗
U+5658: juē  # 噘
U+5659: qín  # 噙
U+565C: lū  # 噜
U+5662: ō  # 噢
U+5664: jìn  # 噤
U+5668: qì  # 器
U+5669: è  # 噩
U+566A: zào  # 噪
U+566B: yī  # 噫
U+566C: shì  # 噬
U+5671: jué  # 噱
U+5676: gá  # 噶
U+567B: sāi  # 噻
U+567C: pī  # 噼
U+5684: huō  # 嚄 -> huò
U+5685: rú  # 嚅
U+5686: hāo  # 嚆
U+568E: háo  # 嚎
U+568F: tì  # 嚏
U+5693: cā  # 嚓
U+569A: yín  # 嚚
U+56A3: xiāo  # 嚣
U+56AD: pǐ  # 嚭
U+56AF: huò  # 嚯
U+56B7: rǎng  # 嚷
U+56BC: jué  # 嚼 -> jiáo
U+56CA: náng  # 囊
U+56D4: nāng  # 囔
U+56DA: qiú  # 囚
U+56DB: sì  # 四
U+56DE: huí  # 回
U+56DF: xìn  # 囟
U+56E0: yīn  # 因
U+56E1: nān  # 囡
U+56E2: tuán  # 团
U+56E4: dùn  # 囤
U+56EB: hú  # 囫
U+56ED: yuán  # 园
U+56F0: kùn  # 困
U+56F1: cōng  # 囱
U+56F4: wéi  # 围
U+56F5: lún  # 囵
U+56F7: qūn  # 囷
U+56F9: líng  # 囹
U+56FA: gù  # 固
U+56FD: guó  # 国
U+56FE: tú  # 图
U+56FF: yòu  # 囿
U+5703: pǔ  # 圃
U+5704: yǔ  # 圄
U+5706: yuán  # 圆
U+5708: quān  # 圈
U+5709: yǔ  # 圉
U+570A: qīng  # 圊
U+570C: chuán  # 圌
U+5710: kū  # 圐
U+5719: lüè  # 圙
U+571C: huán  # 圜
U+571F: tǔ  # 土
U+5722: tǐng  # 圢
U+5723: shèng  # 圣
U+5728: zài  # 在
U+5729: wéi  # 圩
U+572A: gē  # 圪
U+572B: yù  # 圫
U+572C: wū  # 圬
U+572D: guī  # 圭
U+572E: pǐ  # 圮
U+572F: yí  # 圯
U+5730: dì  # 地
U+5732: qiān  # 圲
U+5733: zhèn  # 圳
U+5739: kuàng  # 圹
U+573A: chǎng  # 场 -> cháng
U+573B: qí  # 圻
U+573E: jī  # 圾
U+5740: zhǐ  # 址
U+5742: bǎn  # 坂
U+5747: jūn  # 均
U+5749: tún  # 坉
U+574A: fāng  # 坊
U+574B: bèn  # 坋
U+574C: bèn  # 坌
U+574D: tān  # 坍
U+574E: kǎn  # 坎
U+574F: huài  # 坏
U+5750: zuò  # 坐
U+5751: kēng  # 坑
U+5752: bì  # 坒
U+5757: kuài  # 块
U+575A: jiān  # 坚
U+575B: tán  # 坛
U+575C: lì  # 坜
U+575D: bà  # 坝
U+575E: wù  # 坞
U+575F: fén  # 坟
U+5760: zhuì  # 坠
U+5761: pō  # 坡
U+5764: kūn  # 坤
U+5765: qū  # 坥
U+5766: tǎn  # 坦
U+5768: tuó  # 坨
U+5769: gān  # 坩
U+576A: píng  # 坪
U+576B: diàn  # 坫
U+576C: guà  # 坬
U+576D: ní  # 坭
U+576F: pī  # 坯
U+5770: jiōng  # 坰
U+5773: ào  # 坳
U+5777: kě  # 坷 -> kē
U+577B: chí  # 坻 -> dǐ
U+577C: chè  # 坼
U+577D: líng  # 坽
U+5782: chuí  # 垂
U+5783: lā  # 垃
U+5784: lǒng  # 垄
U+5786: lú  # 垆
U+5788: dài  # 垈
U+578B: xíng  # 型
U+578C: dòng  # 垌
U+578D: jì  # 垍
U+578E: hè  # 垎
U+578F: lǜ  # 垏
U+5792: lěi  # 垒
U+5793: gāi  # 垓
U+5795: hòu  # 垕
U+5799: guāng  # 垙
U+579A: yáo  # 垚
U+579B: duǒ  # 垛
U+579E: chá  # 垞
U+579F: yáng  # 垟
U+57A0: yín  # 垠
U+57A1: fá  # 垡
U+57A2: gòu  # 垢
U+57A3: yuán  # 垣
U+57A4: dié  # 垤
U+57A6: kěn  # 垦
U+57A7: shǎng  # 垧
U+57A9: è  # 垩
U+57AB: diàn  # 垫
U+57AD: yā  # 垭
U+57AE: kuǎ  # 垮
U+57AF: da  # 垯 -> dá
U+57B1: dàng  # 垱
U+57B2: kǎi  # 垲
U+57B4: nǎo  # 垴
U+57B5: ǎn  # 垵
U+57B8: yuàn  # 垸
U+57BA: fū  # 垺 -> póu
U+57BE: hàn  # 垾
U+57BF: xù  # 垿
U+57C2: gěng  # 埂
U+57C3: āi  # 埃
U+57C6: què  # 埆
U+57C7: yǒng  # 埇
U+57CB: mái  # 埋
U+57CC: làng  # 埌
U+57CE: chéng  # 城
U+57CF: shān  # 埏 -> yán
U+57D2: liè  # 埒
U+57D4: pǔ  # 埔
U+57D5: chéng  # 埕
U+57D7: bù  # 埗
U+57D8: shí  # 埘
U+57D9: xūn  # 埙
U+57DA: guō  # 埚
U+57DD: niàn  # 埝
U+57DF: yù  # 域
U+57E0: bù  # 埠
U+57E4: pí  # 埤
U+57EA: kōng  # 埪
U+57EB: chǒng  # 埫
U+57ED: dài  # 埭
U+57EF: ǎn  # 埯
U+57F4: zhí  # 埴
U+57F5: duǒ  # 埵
U+57F8: yì  # 埸
U+57F9: péi  # 培
U+57FA: jī  # 基
U+57FC: qí  # 埼
U+57FD: sào  # 埽
U+5802: táng  # 堂
U+5803: kūn  # 堃
U+5806: duī  # 堆
U+5807: jǐn  # 堇 -> jīn
U+5809: yù  # 堉
U+580B: péng  # 堋
U+580C: gù  # 堌
U+580D: tù  # 堍
U+580E: lèng  # 堎
U+5810: yá  # 堐
U+5811: qiàn  # 堑
U+5815: duò  # 堕
U+5819: yīn  # 堙
U+581E: dié  # 堞
U+5820: hòu  # 堠
U+5821: bǎo  # 堡
U+5824: dī  # 堤
U+5827: ruán  # 堧
U+5828: yè  # 堨 -> è
U+582A: kān  # 堪
U+5830: yàn  # 堰
U+5832: cí  # 堲 -> jí
U+5835: dǔ  # 堵
U+583C: hèng  # 堼 -> fēng
U+583D: gāng  # 堽
U+583E: chūn  # 堾 -> chuǎn
U+5844: léng  # 塄
U+5845: duàn  # 塅
U+5846: wān  # 塆
U+584C: tā  # 塌
U+584D: chéng  # 塍
U+5851: sù  # 塑
U+5854: tǎ  # 塔
U+5858: táng  # 塘
U+585D: bàng  # 塝
U+585E: sāi  # 塞
U+5865: gé  # 塥
U+586B: tián  # 填
U+586C: yuán  # 塬
U+5871: lǎng  # 塱
U+587E: shú  # 塾
U+5880: chí  # 墀
U+5881: màn  # 墁
U+5883: jìng  # 境
U+5885: shù  # 墅
U+5888: kàn  # 墈
U+5889: yōng  # 墉
U+5890: jìn  # 墐
U+5892: shāng  # 墒
U+5893: mù  # 墓
U+5895: yàn  # 墕
U+5898: qián  # 墘
U+5899: qiáng  # 墙
U+589A: liáng  # 墚
U+589E: zēng  # 增
U+589F: xū  # 墟
U+58A1: shàn  # 墡
U+58A3: pú  # 墣
U+58A6: fán  # 墦
U+58A8: mò  # 墨
U+58A9: dūn  # 墩
U+58BC: jī  # 墼
U+58C1: bì  # 壁
U+58C5: yōng  # 壅
U+58D1: hè  # 壑
U+58D5: háo  # 壕
U+58E4: rǎng  # 壤
U+58EB: shì  # 士
U+58EC: rén  # 壬
U+58EE: zhuàng  # 壮
U+58F0: shēng  # 声
U+58F3: ké  # 壳
U+58F6: hú  # 壶
U+58F8: kǔn  # 壸
U+58F9: yī  # 壹
U+5904: chù  # 处 -> chǔ
U+5907: bèi  # 备
U+590D: fù  # 复
U+590F: xià  # 夏
U+5910: xiòng  # 夐
U+5914: kuí  # 夔
U+5915: xī  # 夕
U+5916: wài  # 外
U+5919: sù  # 夙
U+591A: duō  # 多
U+591C: yè  # 夜
U+591F: gòu  # 够
U+5924: yín  # 夤
U+5925: huǒ  # 夥
U+5927: dà  # 大
U+5929: tiān  # 天
U+592A: tài  # 太
U+592B: fū  # 夫
U+592C: guài  # 夬
U+592D: yāo  # 夭
U+592E: yāng  # 央
U+592F: hāng  # 夯
U+5931: shī  # 失
U+5934: tóu  # 头
U+5937: yí  # 夷
U+5938: kuā  # 夸
U+5939: jiā  # 夹
U+593A: duó  # 夺
U+593C: kuǎng  # 夼
U+5941: lián  # 奁
U+5942: huàn  # 奂
U+5944: yǎn  # 奄
U+5947: qí  # 奇
U+5948: nài  # 奈
U+5949: fèng  # 奉
U+594B: fèn  # 奋
U+594E: kuí  # 奎
U+594F: zòu  # 奏
U+5951: qì  # 契
U+5953: zhā  # 奓 -> shē
U+5954: bēn  # 奔
U+5955: yì  # 奕
U+5956: jiǎng  # 奖
U+5957: tào  # 套
U+5958: zàng  # 奘
U+595A: xī  # 奚
U+5960: diàn  # 奠
U+5961: ào  # 奡
U+5962: shē  # 奢
U+5965: ào  # 奥
U+596D: shì  # 奭
U+5973: nǚ  # 女
U+5974: nú  # 奴
U+5976: nǎi  # 奶
U+5978: jiān  # 奸
U+5979: tā  # 她
U+597D: hǎo  # 好
U+5981: shuò  # 妁
U+5982: rú  # 如
U+5983: fēi  # 妃
U+5984: wàng  # 妄
U+5986: zhuāng  # 妆
U+5987: fù  # 妇
U+5988: mā  # 妈
U+598A: rèn  # 妊
U+598D: yán  # 妍
U+5992: dù  # 妒
U+5993: jì  # 妓
U+5996: yāo  # 妖
U+5997: jìn  # 妗
U+5998: yún  # 妘
U+5999: miào  # 妙
U+599E: niū  # 妞
U+59A3: bǐ  # 妣
U+59A4: yú  # 妤
U+59A5: tuǒ  # 妥
U+59A7: wàn  # 妧
U+59A8: fáng  # 妨
U+59A9: wǔ  # 妩
U+59AA: yù  # 妪
U+59AB: guī  # 妫
U+59AD: bá  # 妭
U+59AE: nī  # 妮
U+59AF: zhóu  # 妯
U+59B2: dá  # 妲
U+59B9: mèi  # 妹
U+59BB: qī  # 妻
U+59BE: qiè  # 妾
U+59C6: mǔ  # 姆
U+59C8: líng  # 姈
U+59CA: zǐ  # 姊
U+59CB: shǐ  # 始
U+59D0: jiě  # 姐
U+59D1: gū  # 姑
U+59D2: sì  # 姒
U+59D3: xìng  # 姓
U+59D4: wěi  # 委
U+59D7: shān  # 姗
U+59D8: pīn  # 姘
U+59DA: yáo  # 姚
U+59DC: jiāng  # 姜
U+59DD: shū  # 姝
U+59DE: jí  # 姞
U+59E3: jiāo  # 姣
U+59E4: gòu  # 姤
U+59E5: lǎo  # 姥 -> mǔ
U+59E8: yí  # 姨
U+59EC: jī  # 姬
U+59EE: héng  # 姮
U+59F1: kuā  # 姱
U+59F6: è  # 姶
U+59F9: chà  # 姹
U+59FB: yīn  # 姻
U+59FD: guǐ  # 姽
U+59FF: zī  # 姿
U+5A00: sōng  # 娀
U+5A01: wēi  # 威
U+5A03: wá  # 娃
U+5A04: lóu  # 娄
U+5A05: yà  # 娅
U+5A06: ráo  # 娆
U+5A07: jiāo  # 娇
U+5A08: luán  # 娈
U+5A09: pīng  # 娉
U+5A0C: lǐ  # 娌
U+5A11: suō  # 娑
U+5A13: wěi  # 娓
U+5A18: niáng  # 娘
U+5A1C: nà  # 娜
U+5A1F: juān  # 娟
U+5A20: shēn  # 娠
U+5A23: dì  # 娣
U+5A25: é  # 娥
U+5A29: miǎn  # 娩
U+5A31: yú  # 娱
U+5A32: wā  # 娲
U+5A34: xián  # 娴
U+5A35: jū  # 娵
U+5A36: qǔ  # 娶
U+5A3C: chāng  # 娼
U+5A40: ē  # 婀
U+5A46: pó  # 婆
U+5A49: wǎn  # 婉
U+5A4A: biǎo  # 婊
U+5A4C: shú  # 婌 -> shū
U+5A4D: qǐ  # 婍
U+5A55: jié  # 婕
U+5A58: quán  # 婘
U+5A5A: hūn  # 婚
U+5A5E: xìng  # 婞
U+5A60: wān  # 婠
U+5A62: bì  # 婢
U+5A64: chōu  # 婤 -> zhōu
U+5A67: jìng  # 婧
U+5A6A: lán  # 婪
U+5A6B: kūn  # 婫 -> hùn
U+5A73: huà  # 婳
U+5A74: yīng  # 婴
U+5A75: chán  # 婵
U+5A76: shěn  # 婶
U+5A77: tíng  # 婷
U+5A7A: wù  # 婺
U+5A7B: nàn  # 婻
U+5A7C: chuò  # 婼 -> ruò
U+5A7F: xù  # 婿
U+5A82: dì  # 媂
U+5A84: měi  # 媄
U+5A86: ruǎn  # 媆
U+5A92: méi  # 媒
U+5A93: huáng  # 媓
U+5A96: yīng  # 媖
U+5A9A: mèi  # 媚
U+5A9B: yuàn  # 媛
U+5A9E: shì  # 媞 -> tí
U+5AAA: ǎo  # 媪
U+5AAD: xū  # 媭
U+5AB1: yáo  # 媱
U+5AB2: pì  # 媲
U+5AB3: xí  # 媳
U+5AB5: yìng  # 媵
U+5AB8: chī  # 媸
U+5ABE: gòu  # 媾
U+5AC1: jià  # 嫁
U+5AC2: sǎo  # 嫂
U+5AC4: yuán  # 嫄
U+5AC9: jí  # 嫉
U+5ACC: xián  # 嫌
U+5AD2: ài  # 嫒
U+5AD4: pín  # 嫔
U+5AD5: yì  # 嫕
U+5AD6: piáo  # 嫖
U+5AD8: léi  # 嫘
U+5ADA: mān  # 嫚 -> màn
U+5ADC: zhāng  # 嫜
U+5AE0: lí  # 嫠
U+5AE1: dí  # 嫡
U+5AE3: yān  # 嫣
U+5AE6: cháng  # 嫦
U+5AE9: nèn  # 嫩
U+5AEA: lào  # 嫪
U+5AEB: mó  # 嫫
U+5AED: hù  # 嫭
U+5AF1: qiáng  # 嫱
U+5AFD: liáo  # 嫽
U+5B09: xī  # 嬉
U+5B16: bì  # 嬖
U+5B17: shàn  # 嬗
U+5B1B: huán  # 嬛
U+5B25: tiǎo  # 嬥
U+5B2C: rú  # 嬬
U+5B34: yíng  # 嬴
U+5B37: mā  # 嬷 -> mó
U+5B3F: yàn  # 嬿
U+5B40: shuāng  # 孀
U+5B45: qiān  # 孅 -> xiān
U+5B50: zi  # 子 -> zǐ
U+5B51: jié  # 孑
U+5B53: jué  # 孓
U+5B54: kǒng  # 孔
U+5B55: yùn  # 孕
U+5B56: mā  # 孖 -> zī
U+5B57: zì  # 字
U+5B58: cún  # 存
U+5B59: sūn  # 孙
U+5B5A: fú  # 孚
U+5B5B: bèi  # 孛
U+5B5C: zī  # 孜
U+5B5D: xiào  # 孝
U+5B5F: mèng  # 孟
U+5B62: bāo  # 孢
U+5B63: jì  # 季
U+5B64: gū  # 孤
U+5B65: nú  # 孥
U+5B66: xué  # 学
U+5B69: hái  # 孩
U+5B6A: luán  # 孪
U+5B6C: nāo  # 孬
U+5B70: shú  # 孰
U+5B71: càn  # 孱 -> chán
U+5B73: zī  # 孳
U+5B75: fū  # 孵
U+5B7A: rú  # 孺
U+5B7D: niè  # 孽
U+5B81: níng  # 宁
U+5B83: tā  # 它
U+5B84: guǐ  # 宄
U+5B85: zhái  # 宅
U+5B87: yǔ  # 宇
U+5B88: shǒu  # 守
U+5B89: ān  # 安
U+5B8B: sòng  # 宋
U+5B8C: wán  # 完
U+5B8F: hóng  # 宏
U+5B93: mì  # 宓
U+5B95: dàng  # 宕
U+5B97: zōng  # 宗
U+5B98: guān  # 官
U+5B99: zhòu  # 宙
U+5B9A: dìng  # 定
U+5B9B: wǎn  # 宛
U+5B9C: yí  # 宜
U+5B9D: bǎo  # 宝
U+5B9E: shí  # 实
U+5BA0: chǒng  # 宠
U+5BA1: shěn  # 审
U+5BA2: kè  # 客
U+5BA3: xuān  # 宣
U+5BA4: shì  # 室
U+5BA5: yòu  # 宥
U+5BA6: huàn  # 宦
U+5BA7: yí  # 宧
U+5BAA: xiàn  # 宪
U+5BAB: gōng  # 宫
U+5BAC: chéng  # 宬
U+5BB0: zǎi  # 宰
U+5BB3: hài  # 害
U+5BB4: yàn  # 宴
U+5BB5: xiāo  # 宵
U+5BB6: jiā  # 家
U+5BB8: chén  # 宸
U+5BB9: róng  # 容
U+5BBD: kuān  # 宽
U+5BBE: bīn  # 宾
U+5BBF: sù  # 宿
U+5BC1: zǎn  # 寁
U+5BC2: jì  # 寂
U+5BC4: jì  # 寄
U+5BC5: yín  # 寅
U+5BC6: mì  # 密
U+5BC7: kòu  # 寇
U+5BCC: fù  # 富
U+5BD0: mèi  # 寐
U+5BD2: hán  # 寒
U+5BD3: yù  # 寓
U+5BDD: qǐn  # 寝
U+5BDE: mò  # 寞
U+5BDF: chá  # 察
U+5BE1: guǎ  # 寡
U+5BE4: wù  # 寤
U+5BE5: liáo  # 寥
U+5BE8: zhài  # 寨
U+5BEE: liáo  # 寮
U+5BF0: huán  # 寰
U+5BF8: cùn  # 寸
U+5BF9: duì  # 对
U+5BFA: sì  # 寺
U+5BFB: xún  # 寻
U+5BFC: dǎo  # 导
U+5BFF: shòu  # 寿
U+5C01: fēng  # 封
U+5C04: shè  # 射
U+5C06: jiāng  # 将
U+5C09: wèi  # 尉
U+5C0A: zūn  # 尊
U+5C0F: xiǎo  # 小
U+5C11: shǎo  # 少
U+5C14: ěr  # 尔
U+5C15: gǎ  # 尕
U+5C16: jiān  # 尖
U+5C18: chén  # 尘
U+5C1A: shàng  # 尚
U+5C1C: gá  # 尜
U+5C1D: cháng  # 尝
U+5C22: yóu  # 尢
U+5C24: yóu  # 尤
U+5C25: liào  # 尥
U+5C27: yáo  # 尧
U+5C28: máng  # 尨 -> lóng
U+5C2A: wāng  # 尪
U+5C2C: gà  # 尬
U+5C31: jiù  # 就
U+5C34: gān  # 尴
U+5C38: shī  # 尸
U+5C39: yǐn  # 尹
U+5C3A: chǐ  # 尺
U+5C3B: kāo  # 尻
U+5C3C: ní  # 尼
U+5C3D: jǐn  # 尽 -> jìn
U+5C3E: wěi  # 尾
U+5C3F: niào  # 尿
U+5C40: jú  # 局
U+5C41: pì  # 屁
U+5C42: céng  # 层
U+5C43: xì  # 屃
U+5C45: jū  # 居
U+5C48: qū  # 屈
U+5C49: tì  # 屉
U+5C4A: jiè  # 届
U+5C4B: wū  # 屋
U+5C4E: shǐ  # 屎
U+5C4F: píng  # 屏
U+5C50: jī  # 屐
U+5C51: xiè  # 屑
U+5C55: zhǎn  # 展
U+5C59: ē  # 屙
U+5C5E: shǔ  # 属
U+5C60: tú  # 屠
U+5C61: lǚ  # 屡
U+5C63: xǐ  # 屣
U+5C65: lǚ  # 履
U+5C66: jù  # 屦
U+5C6F: tún  # 屯
U+5C71: shān  # 山
U+5C79: yì  # 屹
U+5C7A: qǐ  # 屺
U+5C7C: wù  # 屼
U+5C7E: shēn  # 屾
U+5C7F: yǔ  # 屿
U+5C81: suì  # 岁
U+5C82: qǐ  # 岂
U+5C88: yá  # 岈
U+5C8A: jié  # 岊
U+5C8C: jí  # 岌
U+5C8D: qiān  # 岍
U+5C90: qí  # 岐
U+5C91: cén  # 岑
U+5C94: chà  # 岔
U+5C96: qū  # 岖
U+5C97: gǎng  # 岗
U+5C98: xiàn  # 岘
U+5C99: ào  # 岙
U+5C9A: lán  # 岚
U+5C9B: dǎo  # 岛
U+5C9C: bā  # 岜
U+5C9E: zuò  # 岞
U+5CA0: jù  # 岠
U+5CA2: kě  # 岢
U+5CA3: gǒu  # 岣
U+5CA8: qū  # 岨 -> jū
U+5CA9: yán  # 岩
U+5CAB: xiù  # 岫
U+5CAC: jiǎ  # 岬
U+5CAD: lǐng  # 岭
U+5CB1: dài  # 岱
U+5CB3: yuè  # 岳
U+5CB5: hù  # 岵
U+5CB7: mín  # 岷
U+5CB8: àn  # 岸
U+5CBD: dōng  # 岽
U+5CBF: kuī  # 岿
U+5CC1: mǎo  # 峁
U+5CC2: tóng  # 峂
U+5CC3: xué  # 峃
U+5CC4: yì  # 峄
U+5CCB: xún  # 峋
U+5CD2: dòng  # 峒 -> tóng
U+5CD7: wéi  # 峗
U+5CD8: huán  # 峘
U+5CD9: zhì  # 峙
U+5CDB: lǐ  # 峛
U+5CE1: xiá  # 峡
U+5CE3: yáo  # 峣
U+5CE4: jiào  # 峤
U+5CE5: zhēng  # 峥
U+5CE6: luán  # 峦
U+5CE7: jiāo  # 峧
U+5CE8: é  # 峨
U+5CEA: yù  # 峪
U+5CED: qiào  # 峭
U+5CF0: fēng  # 峰
U+5CF1: náo  # 峱
U+5CFB: jùn  # 峻
U+5CFF: yǔ  # 峿 -> wú
U+5D00: làng  # 崀 -> lǎng
U+5D01: kàn  # 崁
U+5D02: láo  # 崂
U+5D03: lái  # 崃
U+5D04: xiǎn  # 崄
U+5D06: kōng  # 崆
U+5D07: chóng  # 崇
U+5D0C: jū  # 崌
U+5D0E: qí  # 崎
U+5D12: zú  # 崒
U+5D14: cuī  # 崔
U+5D16: yá  # 崖
U+5D1A: léng  # 崚 -> líng
U+5D1B: jué  # 崛
U+5D1E: guō  # 崞
U+5D1F: yín  # 崟
U+5D21: hán  # 崡
U+5D24: xiáo  # 崤
U+5D26: yān  # 崦
U+5D27: sōng  # 崧
U+5D29: bēng  # 崩
U+5D2D: zhǎn  # 崭
U+5D2E: gù  # 崮
U+5D34: wǎi  # 崴
U+5D36: fēng  # 崶
U+5D3D: zǎi  # 崽
U+5D3E: yǎo  # 崾
U+5D3F: è  # 崿
U+5D41: kān  # 嵁
U+5D45: hán  # 嵅
U+5D47: jī  # 嵇
U+5D4A: shèng  # 嵊
U+5D4B: méi  # 嵋
U+5D4C: qiàn  # 嵌
U+5D4E: yú  # 嵎
U+5D56: chá  # 嵖
U+5D58: róng  # 嵘
U+5D5A: qīn  # 嵚
U+5D5B: yú  # 嵛
U+5D5D: lǒu  # 嵝
U+5D69: sōng  # 嵩
U+5D6B: zī  # 嵫
U+5D6C: wéi  # 嵬
U+5D6F: cuó  # 嵯
U+5D72: niè  # 嵲
U+5D74: jǐ  # 嵴
U+5D82: zhàng  # 嶂
U+5D85: áo  # 嶅
U+5D8D: xí  # 嶍
U+5D92: céng  # 嶒
U+5D93: bō  # 嶓
U+5D99: lín  # 嶙
U+5D9D: dèng  # 嶝
U+5D9F: zūn  # 嶟
U+5DA6: zhān  # 嶦
U+5DB2: xī  # 嶲 -> guī
U+5DB7: yí  # 嶷
U+5DC5: diān  # 巅
U+5DC7: xī  # 巇
U+5DC9: chán  # 巉
U+5DCD: wēi  # 巍
U+5DDD: chuān  # 川
U+5DDE: zhōu  # 州
U+5DE1: xún  # 巡
U+5DE2: cháo  # 巢
U+5DE5: gōng  # 工
U+5DE6: zuǒ  # 左
U+5DE7: qiǎo  # 巧
U+5DE8: jù  # 巨
U+5DE9: gǒng  # 巩
U+5DEB: wū  # 巫
U+5DEE: chà  # 差
U+5DEF: qiú  # 巯
U+5DF1: jǐ  # 己
U+5DF2: yǐ  # 已
U+5DF3: sì  # 巳
U+5DF4: bā  # 巴
U+5DF7: xiàng  # 巷
U+5DFD: xùn  # 巽
U+5DFE: jīn  # 巾
U+5E01: bì  # 币
U+5E02: shì  # 市
U+5E03: bù  # 布
U+5E05: shuài  # 帅
U+5E06: fān  # 帆
U+5E08: shī  # 师
U+5E0C: xī  # 希
U+5E0F: wéi  # 帏
U+5E10: zhàng  # 帐
U+5E11: tǎng  # 帑
U+5E14: pèi  # 帔
U+5E15: pà  # 帕
U+5E16: tiē  # 帖 -> tiè
U+5E18: lián  # 帘
U+5E19: zhì  # 帙
U+5E1A: zhǒu  # 帚
U+5E1B: bó  # 帛
U+5E1C: zhì  # 帜
U+5E1D: dì  # 帝
U+5E21: píng  # 帡
U+5E26: dài  # 带
U+5E27: zhēn  # 帧
U+5E28: shuì  # 帨
U+5E2D: xí  # 席
U+5E2E: bāng  # 帮
U+5E31: chóu  # 帱
U+5E37: wéi  # 帷
U+5E38: cháng  # 常
U+5E3B: zé  # 帻
U+5E3C: guó  # 帼
U+5E3D: mào  # 帽
U+5E42: mì  # 幂
U+5E44: wò  # 幄
U+5E45: fú  # 幅
U+5E4C: huǎng  # 幌
U+5E54: màn  # 幔
U+5E55: mù  # 幕
U+5E56: biāo  # 幖
U+5E5B: zhàng  # 幛
U+5E5E: fú  # 幞
U+5E61: fān  # 幡
U+5E62: chuáng  # 幢
U+5E6A: méng  # 幪
U+5E72: gàn  # 干 -> gān
U+5E73: píng  # 平
U+5E74: nián  # 年
U+5E76: bìng  # 并
U+5E78: xìng  # 幸
U+5E7A: yāo  # 幺
U+5E7B: huàn  # 幻
U+5E7C: yòu  # 幼
U+5E7D: yōu  # 幽
U+5E7F: guǎng  # 广
U+5E84: zhuāng  # 庄
U+5E86: qìng  # 庆
U+5E87: bì  # 庇
U+5E8A: chuáng  # 床
U+5E8B: guǐ  # 庋
U+5E8F: xù  # 序
U+5E90: lú  # 庐
U+5E91: wǔ  # 庑
U+5E93: kù  # 库
U+5E94: yīng  # 应
U+5E95: dǐ  # 底
U+5E96: páo  # 庖
U+5E97: diàn  # 店
U+5E99: miào  # 庙
U+5E9A: gēng  # 庚
U+5E9C: fǔ  # 府
U+5E9E: páng  # 庞
U+5E9F: fèi  # 废
U+5EA0: xiáng  # 庠
U+5EA4: zhì  # 庤
U+5EA5: xiū  # 庥
U+5EA6: dù  # 度
U+5EA7: zuò  # 座
